"title", source, price, sold, size, url
"VEJA ESPLAR LOGO WHITE BLACK CLEAN SNEAKERS EO020005 EUR 42 US 9", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568390542?hash=item1f194be58e:g:3uYAAOSwx8NfpbYA
"VEJA ESPLAR LOGO WHITE BLACK CLEAN SNEAKERS EO020005 EUR 41 US 8", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568390209?hash=item1f194be441:g:3uYAAOSwx8NfpbYA
"VEJA ESPLAR CHROMEFREE LEATHER WHITE NATURAL SNEAKERS EO052192 EUR 45 US 12", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568379969?hash=item1f194bbc41:g:vxcAAOSwvk1fpbD2
"VEJA ESPLAR CHROMEFREE LEATHER WHITE NATURAL SNEAKERS EO052192 EUR 44 US 11", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568379743?hash=item1f194bbb5f:g:vxcAAOSwvk1fpbD2
"VEJA ESPLAR CHROMEFREE LEATHER WHITE NATURAL SNEAKERS EO052192 EUR 43 US 10", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568379396?hash=item1f194bba04:g:vxcAAOSwvk1fpbD2
"VEJA ESPLAR CHROMEFREE LEATHER WHITE NATURAL SNEAKERS EO052192 EUR 42 US 9", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133568379103?hash=item1f194bb8df:g:vxcAAOSwvk1fpbD2
"BRAND NEW VEJA Leather White Multico-Indigo 30 Eur/12.5 US Nordstrom", eBay, $71.99, Available, Unknown, https://www.ebay.com/itm/363165691307?hash=item548e5cadab:g:3V4AAOSwuihfoku~
"VEJA V-10 MENS WHITE BLACK SNEAKERS VX020005 VXM020005 EUR 41 US 8", eBay, $99.00, Available, Unknown, https://www.ebay.com/itm/133562807641?hash=item1f18f6b559:g:YTYAAOSwrL9eStSz
"Veja Kids Esplar Brown Suede Sneakers", eBay, $80.00, Available, Unknown, https://www.ebay.com/itm/193728061079?hash=item2d1b179e97:g:8-gAAOSwqtJfmdYJ
"VEJA Esplar rubber-trimmed organic cotton-canvas sneakers 39. Pre-owned.", eBay, $105.00, Available, Unknown, https://www.ebay.com/itm/254762126588?hash=item3b51018cfc:g:-bUAAOSwJF1fmcVU
"O Sujeito Paulo Coelho Na Revista Veja: Uma An?Lise Discursiva", eBay, $76.33, Available, Unknown, https://www.ebay.com/itm/184508992805?epid=25042018636&hash=item2af597cd25:g:EUYAAOSwyHhfmUhR
"As Representacoes Do Ira Atraves Da Revista Veja (1979-1989)", eBay, $69.84, Available, Unknown, https://www.ebay.com/itm/184508915075?hash=item2af5969d83:g:SFgAAOSwW6hfmUJ-
