"title", price, sold, size, url
"John Galt Brandy Melville Skeleton Hoodie", $50, Available, M, https://poshmark.com/listing/John-Galt-Brandy-Melville-Skeleton-Hoodie-5ef3412d43895f853c322537
"Brandy x John Galt | Killin It Graphic Crop Top", $11, Available, S, https://poshmark.com/listing/Brandy-x-John-Galt-Killin-It-Graphic-Crop-Top-5ef32420ce1e87a999e86870
"Brandy Melville John Galt: Navy Blue Crop Sweater", $25, Available, S, https://poshmark.com/listing/Brandy-Melville-John-Galt-Navy-Blue-Crop-Sweater-5ef32346074d24a287db4407
"Brandy Melville/John Galt shorts", $20, Available, 23, https://poshmark.com/listing/Brandy-MelvilleJohn-Galt-shorts-5ef3161b2b46b53a6e3052a3
"Brandy Melville John Galt Plaid Cara Skirt", $42, Available, One Size, https://poshmark.com/listing/Brandy-Melville-John-Galt-Plaid-Cara-Skirt-5ef30426941f17dcbb1821ab
"Brandy Melville John Galt Oversized Denim Jacket", $55, Available, os, https://poshmark.com/listing/Brandy-Melville-John-Galt-Oversized-Denim-Jacket-5edaed563cda88efaf85ee8c
"Never Worn Brandy Melville graphic cropped top", $20, Available, S, https://poshmark.com/listing/Never-Worn-Brandy-Melville-graphic-cropped-top-5ef2ef95e131646877b60d30
"Brandy melville john galt tube top", $20, Available, 1J, https://poshmark.com/listing/Brandy-melville-john-galt-tube-top-5ef2e3bcc693bde2c0efbb11
"Brandy melville john galt tube top", $20, Available, 1J, https://poshmark.com/listing/Brandy-melville-john-galt-tube-top-5ef2e2ca2f3d192e5160565e
"John Galt cropped shirt", $12, Available, One size, https://poshmark.com/listing/John-Galt-cropped-shirt-5ef2e149e107bb8552899991
"brandy Melville Hawaii Jamie too", $30, Available, one size, https://poshmark.com/listing/brandy-Melville-Hawaii-Jamie-too-5ef2ddd0941f17391117b178
"John Galt/Brandy Melville Graphic T-Shirt", $25, Available, S, https://poshmark.com/listing/John-GaltBrandy-Melville-Graphic-TShirt-5ef2d9c593649f01a13539b0
"🇺🇸Brandy Melville🇺🇸", $16, Available, One size, https://poshmark.com/listing/Brandy-Melville-5ef2d73e3cda883f2075eac2
"Brandy Melville White & Blue Striped Tilden Pants!", $20, Available, S, https://poshmark.com/listing/Brandy-Melville-White-Blue-Striped-Tilden-Pants-5ef2d2636e28465c8d0c636d
"Brandy Melville John Galt Black Floral Halter Top", $18, Available, One Size, https://poshmark.com/listing/Brandy-Melville-John-Galt-Black-Floral-Halter-Top-5ef2d2c19e1559d1b9eb32cb
